"gene_name","gene_ort","TDN_num_patients","TP_num_patients","TDN_num_sites","TP_num_sites","TDN_peak_abund","TP_peak_abund","TDN_peak_relAbund","TP_peak_relAbund","abund_gini","long_count","max_geneDist","genomic_range","ort_fisher_test","On_Onco_List","Top_1pc_Abund","Top_10pc_Abund","Within_Cluster","Cluster_target.min"
"A1BG","-",9,7,9,7,2,1,0.0809061488673139,0.980392156862745,0,1,2206,7738,0.632867132867133,FALSE,FALSE,TRUE,FALSE,NA
"A1BG-AS1","+",2,0,2,0,1,0,0.0558347292015634,0,0,0,0,58354080,1,FALSE,FALSE,TRUE,FALSE,NA
"A1CF","-",4,2,4,2,1,1,0.0291970802919708,0.353356890459364,0,1,9462,85628,0.466666666666667,FALSE,FALSE,FALSE,FALSE,NA
"A2M","-",24,17,27,22,3,3,0.101010101010101,1.26582278481013,0.176911544227886,1,16010,63025,0.253825695786865,FALSE,FALSE,TRUE,FALSE,NA
"A2ML1","+",4,5,4,5,1,2,0.0424088210347752,0.151975683890578,0.133333333333334,1,11448,63085,1,FALSE,FALSE,TRUE,FALSE,NA
"A2MP1","-",3,2,3,2,1,6,0.0225682690137666,0.802139037433155,0.357142857142857,1,8160,14412,0.4,FALSE,FALSE,FALSE,FALSE,NA
"A4GALT","-",2,9,2,11,1,1,0.0505050505050505,0.520833333333333,0.000000000000000444089209850063,1,36095,84954,0.487179487179487,FALSE,FALSE,TRUE,FALSE,NA
"A4GNT","-",1,2,1,2,1,1,0.00777121541809138,0.72992700729927,0,1,11208,16191,1,FALSE,FALSE,FALSE,FALSE,NA
"AAAS","-",15,6,18,7,3,1,0.0499001996007984,0.127226463104326,0,1,1720,16008,0.378260869565217,FALSE,FALSE,TRUE,FALSE,NA
"AACS","+",4,5,5,5,1,1,0.253164556962025,0.469483568075117,0,1,61946,127599,1,FALSE,FALSE,TRUE,FALSE,NA
"AACSP1","-",5,3,5,3,1,1,0.0732600732600733,0.245700245700246,0,1,18862,72636,1,FALSE,FALSE,FALSE,FALSE,NA
"AADACL2","+",3,0,3,0,1,0,0.0255950857435372,0,0,0,80982,151703019,1,FALSE,FALSE,FALSE,FALSE,NA
"AADACL2-AS1","-",16,5,17,6,1,1,0.118483412322275,1.26582278481013,0,1,100108,267584,0.0085985715276333,FALSE,FALSE,TRUE,FALSE,NA
"AADACL3","+",0,1,0,1,0,1,0,0.0809061488673139,0,1,20611,12695502,1,FALSE,FALSE,FALSE,FALSE,NA
"AADACL4","+",0,1,0,1,0,1,0,0.0451875282422051,0,1,0,12665414,1,FALSE,FALSE,FALSE,FALSE,NA
"AADAT","-",5,2,5,3,1,1,0.0591366055588409,1.14942528735632,0,1,66664,103222,1,FALSE,FALSE,FALSE,FALSE,NA
"AAED1","-",4,6,4,7,1,1,0.0732600732600733,0.436681222707424,0,1,33835,58339,0.363636363636364,FALSE,FALSE,FALSE,FALSE,NA
"AAGAB","-",38,16,50,18,2,2,0.363636363636364,1.31578947368421,0.157004830917875,1,1203,54321,1,FALSE,TRUE,TRUE,FALSE,NA
"AAK1","-",55,21,95,36,3,6,0.114810562571757,0.702576112412178,0.187037037037037,2,0,178378,1,FALSE,FALSE,TRUE,FALSE,NA
"AAMDC","+",7,7,7,8,1,3,0.0684931506849315,1.58730158730159,0.175,1,0,73180,1,FALSE,FALSE,TRUE,FALSE,NA
"AANAT","+",2,1,2,1,1,1,0.029603315571344,0.512820512820513,0,1,0,4109,1,FALSE,FALSE,TRUE,FALSE,NA
"AAR2","+",3,3,2,3,1,3,0.0295508274231678,0.0591366055588409,0.266666666666667,1,0,8165,1,FALSE,TRUE,TRUE,FALSE,NA
"AARD","+",1,1,1,1,2,1,0.0441988950276243,0.0752445447705041,0,1,13514,4206,1,FALSE,FALSE,FALSE,FALSE,NA
"AARS","-",15,9,19,11,2,1,0.0753012048192771,0.574712643678161,0.000000000000000444089209850063,1,0,34604,0.275457202274439,FALSE,FALSE,TRUE,FALSE,NA
"AARS2","-",2,2,2,2,1,1,0.0295508274231678,0.0462748727441,0,1,11284,16911,1,FALSE,FALSE,TRUE,FALSE,NA
"AARSD1","-",8,11,9,14,1,3,0.050251256281407,1.03092783505155,0.199248120300752,1,2894,15657,1,FALSE,TRUE,TRUE,FALSE,NA
"AASDH","-",8,8,8,9,1,3,0.0363636363636364,1.81818181818182,0.161616161616161,4,0,38680,0.334841628959276,FALSE,FALSE,TRUE,FALSE,NA
"AASDHPPT","+",19,12,26,20,3,4,0.0731707317073171,0.29940119760479,0.178000000000001,2,62,19106,0.768610570932682,FALSE,FALSE,TRUE,FALSE,NA
"AASS","-",11,5,10,6,2,1,0.32258064516129,2.08333333333333,0,1,32542,98406,1,FALSE,FALSE,TRUE,FALSE,NA
"AATF","+",52,27,109,52,3,14,0.18450184501845,0.574712643678161,0.26026026026026,1,785,105661,0.309497754357602,TRUE,TRUE,TRUE,FALSE,NA
"AATK","-",3,1,3,1,1,1,0.0512295081967213,0.0350017500875044,0,1,0,16610,1,FALSE,FALSE,TRUE,FALSE,NA
"ABAT","+",4,8,4,9,1,4,0.0305343511450382,2.56410256410256,0.222222222222222,1,11514,124461,0.53006993006993,FALSE,FALSE,TRUE,FALSE,NA
"ABCA1","-",17,16,21,20,2,2,0.161290322580645,0.847457627118644,0.081818181818182,1,139515,286497,1,TRUE,FALSE,TRUE,FALSE,NA
"ABCA10","-",11,5,11,6,2,1,0.118483412322275,0.0954198473282443,0,1,0,87019,0.643665158371041,FALSE,FALSE,TRUE,FALSE,NA
"ABCA11P","-",36,13,44,17,2,3,0.205128205128205,1.92307692307692,0.161616161616162,1,11851,58530,0.163146659618546,FALSE,FALSE,TRUE,FALSE,NA
"ABCA12","-",3,5,3,6,1,1,0.114810562571757,0.432900432900433,0,1,9822,183543,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCA13","+",10,3,12,3,1,2,0.0544365813826892,1.96078431372549,0.166666666666667,1,97641,506429,0.525274725274725,FALSE,FALSE,TRUE,FALSE,NA
"ABCA17P","+",38,11,52,15,3,5,0.483870967741935,1.44508670520231,0.26060606060606,2,962,83479,1,FALSE,TRUE,TRUE,FALSE,NA
"ABCA2","-",11,4,12,4,4,1,0.115874855156431,0.325732899022801,0,1,5033,24799,0.569230769230769,FALSE,FALSE,TRUE,FALSE,NA
"ABCA3","-",45,12,62,17,2,2,0.105932203389831,0.352112676056338,0.0928792569659445,1,0,62654,0.420133925902154,TRUE,TRUE,TRUE,FALSE,NA
"ABCA4","-",1,3,1,4,1,1,0.0503018108651912,0.641025641025641,0,1,23218,128392,1,FALSE,FALSE,TRUE,FALSE,NA
"ABCA5","-",41,18,61,31,2,2,0.128205128205128,0.089126559714795,0.0566959921798631,1,12979,95059,0.662320399579987,FALSE,TRUE,TRUE,FALSE,NA
"ABCA6","-",7,2,9,2,1,2,0.0674763832658569,0.127388535031847,0,1,6293,54193,0.181818181818182,FALSE,TRUE,TRUE,FALSE,NA
"ABCA7","+",41,10,63,13,9,1,0.452261306532663,0.510204081632653,0,1,0,20588,0.239873016198942,FALSE,FALSE,TRUE,FALSE,NA
