gene	earlyCount	lateCount	pVal	pVal.adj	percentChange	logChange	plotScore	geneLabel
RNPS1	655	53	1.5879137662344834e-16	1.8659574667021413e-12	-63.64883401920438	1.4599264548763755	27.007246807599117	RNPS1
PACS1	2237	341	1.835795030283631e-12	1.0786213700431474e-8	-31.518672433257112	0.5462174250497085	18.34499702746745	PACS1
KDM2A	1629	259	5.848503045684582e-8	2.2908586429946508e-4	-28.57299242720884	0.48545841385372607	8.381413671414673	KDM2A
STAT3	335	31	1.1319090988731095e-7	3.3252659552144773e-4	-58.4280244866204	1.2663167879730217	8.008790714536447	STAT3
IP6K1	708	94	3.0037530259585766e-7	7.059420361607846e-4	-40.3544054621686	0.7455125114201222	7.255977425596829	IP6K1
GATAD2B	378	40	7.092038157557479e-7	0.0013889756731576323	-52.460789223477846	1.0728101423484724	6.579188729288692	GATAD2B
CD4	114	4	1.9744980469338252e-6	0.00246905733490031	-84.23699853199528	2.6653858271795037	6.003918846976888	CD4
TRAF2	507	63	2.2640183913312464e-6	0.00246905733490031	-44.176589475734765	0.8410578265181858	6.003918846976888	TRAF2
AHRR	281	27	2.996052216767531e-6	0.002933884133269605	-56.83405825754579	1.2120346310722196	5.831428091087627	
RUVBL2	104	4	8.770222992547395e-6	0.007361349313244603	-82.7213253139179	2.532935531155854	4.911512032440467	
LSM2	268	27	1.1667134657731924e-5	0.008064735256647521	-54.74018794914317	1.1436975013090658	4.820254394149892	
TAP2	189	15	1.1410137406693604e-5	0.008064735256647521	-64.34559191760837	1.4878476416273163	4.820254394149892	
VARS	321	35	1.0482571325112891e-5	0.008064735256647521	-51.01684123260216	1.0296422831920988	4.820254394149892	
QRICH1	536	72	1.3079005484601676e-5	0.008538410747197462	-39.6535839321909	0.7286600020302221	4.763180383675455	
FKBP5	736	108	1.5321878128716895e-5	0.009476178415292223	-34.0780998389694	0.6011702669083063	4.658974164739985	
TESPA1	212	19	1.8467490336195527e-5	0.010333879949553983	-59.73742785412946	1.3124887541343757	4.5723274662202344	
EXOC2	318	36	2.5686561787364164e-5	0.013123599459274621	-49.142014131531944	0.9754537668568052	4.3333431840629295	
SF3B2	154	11	2.940716929973179e-5	0.013822545857645932	-67.91103272584755	1.6398507350723663	4.281454262149013	
MYH9	190	17	4.797438231921801e-5	0.018791565554437693	-59.80434625658797	1.3148885800953705	3.974347150536992	
ABCF1	170	14	5.337378002939217e-5	0.019645978770625884	-63.00330831921246	1.43453182709486	3.9298826043252846	
BRD4	228	23	5.907229960823965e-5	0.019833102648469263	-54.681370779486436	1.1418238711224908	3.920402886335922	
EFTUD2	83	3	6.661121389544129e-5	0.021743010402370297	-83.76220933115177	2.622572743640531	3.8284629339054557	
NOSIP	675	102	9.613429370407873e-5	0.03053173203558457	-32.114007011126354	0.5588141629814598	3.4889887415948238	
TAPBP	216	22	1.0864510486668875e-4	0.03359706913916999	-54.24350962759742	1.1279516965409333	3.393316443818455	
ASH1L	930	151	1.1559990029978344e-4	0.033960360710568877	-27.057981916603985	0.4551779796850769	3.382561295964985	
LONP1	105	6	1.1438814653079152e-4	0.033960360710568877	-74.32882618067805	1.9617788299597285	3.382561295964985	
WNK1	433	59	1.471886202683449e-4	0.04022356922728653	-38.78640422990778	0.708075978379646	3.2133021559771473	
TBC1D10C	66	2	2.3007545853213348e-4	0.05301209241590393	-86.38649873217774	2.8768899323732153	2.9372352326636335	
PRR12	502	73	2.9711469943177185e-4	0.06347990605495911	-34.671465031506344	0.6142148080855168	2.7570318632406017	
EMSY	127	10	3.598234650407411e-4	0.06931615635563522	-64.62633528833588	1.4992524048995657	2.6690772635134046	
KCTD13	112	8	3.539266268454566e-4	0.06931615635563522	-67.91103272584755	1.6398507350723663	2.6690772635134046	
UBE2J2	283	35	3.7456016408685377e-4	0.0707277920416644	-44.43959729917065	0.8478710389016777	2.6489166851376726	
ARNT	236	27	4.25657938287892e-4	0.07355744754148558	-48.60326428123037	0.9602513602131346	2.6096885788490525	
OTUD5	138	12	4.5997640235451626e-4	0.07507198200094335	-60.93517027494484	1.356057769071775	2.5893078657084105	
KIAA0355	103	7	4.821054833111901e-4	0.07760577444369582	-69.4687495838161	1.7116414181403763	2.5561134416272444	
PRKCH	158	15	5.3242306770848e-4	0.08232241406108354	-57.35010678751888	1.2293859655833463	2.4971118625573188	
VPS52	280	35	5.926302305901593e-4	0.08928202358544823	-43.844307270233195	0.8324958130147622	2.4159551149983782	
PPP6R2	862	144	6.19230120805514e-4	0.09005555835351153	-24.952020853026262	0.41411487066154773	2.407328484073405	
STAG2	87	5	6.207556996540238e-4	0.09005555835351153	-74.1812906989578	1.9535112139761281	2.407328484073405	
CCDC57	770	126	6.412853707852828e-4	0.09189932185485193	-26.487093153759812	0.44393052509710923	2.3870616288114657	
EIF2B3	401	57	7.080009269512384e-4	0.09787904579534121	-36.142154900813814	0.6470642253049408	2.3240227891746255	
MROH1	1519	276	7.863765803078609e-4	0.09801839008002937	-18.372765274967016	0.2928775107386765	2.322600164038501	
LPCAT3	289	37	7.371760202475623e-4	0.09801839008002937	-42.484134781968955	0.7979681298864912	2.322600164038501	
STK11	210	24	9.291358277442903e-4	0.10704191286101132	-48.65765236135607	0.9617788299597285	2.2345348122367517	
IFT140	480	72	9.472341343440844e-4	0.10800003791979022	-32.61316872427983	0.569461407180968	2.22562370074881	
TMEM259	73	4	0.0011035563235027512	0.11682784105838585	-75.38380592667757	2.0223203718947795	2.147053871766581	
PPP3CC	362	51	0.0011560630941718224	0.12058241874980516	-36.708501011754535	0.6599163581264718	2.115421786826946	
EIF4A3	47	1	0.0011800679224089519	0.12058241874980516	-90.44158421620992	3.3870846646923995	2.115421786826946	
HORMAD2	617	99	0.001212189597302294	0.12174735006751501	-27.91684174720371	0.4722658720845704	2.1058072826155265	
IL4I1	366	52	0.0012444921640094786	0.12393243575657104	-36.17276454758746	0.6477559331577123	2.088018734805178	
WIPF1	88	6	0.0012599227605346582	0.12441472570624174	-69.36962214739991	1.7069649309309032	2.0841347318383017	
RNF38	162	17	0.001358770066603306	0.13305755877212874	-52.856949313282186	1.0848829746490476	2.016973471656716	
NUP62	262	34	0.0015652804128243277	0.15076729615654652	-41.700960219478745	0.7784559733018731	1.892017715916179	
IL27RA	122	11	0.0015794155636099261	0.15089196982097758	-59.4942544244305	1.3038015319403513	1.8911911298597184	
TBK1	54	2	0.0016504989585422697	0.15392867668119214	-83.36127622821724	2.5873833151782306	1.871265922284055	
